"HG8PRC","hg8lxl.ham.hu","8000","DX Spider"
"HP2AT-4","200.46.129.2","9000","DX Spider"
"HS0ZER-15","hs0zer.no-ip.com","9000","DxNet"
"I0INU-6","i0inu.dyndns.org","7300","DX Spider"
"I3ITX-6","ik3stg.dyndns.org","8000","DX Spider"
"I5UXJ-2","i5uxj-2.cln.it","8000","DX Spider"
"I8NHJ-6","i8nhj-6.pagus.it","23","DxNet"
"IK0XWV-6","ik0xwv.no-ip.org","9000","DX Spider"
"IK1HJS-6","ik1hjs.it","7300","DX Spider"
"IK1ZNW-6","dx.ik1znw.org","8000","DX Spider"
"IK2DUW-6","dx.arilimbiate.net","7300","DX Spider"
"IK2XDE-6","80.67.113.160","8000","DxNet"
"IK3EDJ-6","ik3edj.dxgang.net","9000","DX Spider"
"IK4ICZ-6","ik4icz.dyndns.org","8000","DX Spider"
"IK5PWJ-6","ir5pit.isti.cnr.it","8000","DX Spider"
"IK5YZW-6","ik5yzw.dyndns.org","8000","DX Spider"
"IK5ZUK-6","ik5zuk.dxcluster.net","8000","DX Spider"
"IK6IHL-6","ham.ik6ihl.org","40112","DX Spider"
"IK6TJX-6","ham.ik6ihl.org","9000","DxNet"
"IK6XMI-6","ik6xmi.homepc.it","7300","DX Spider"
"IK7IMO-6","ik7imo.dyndns.org","7000","DX Spider"
"IK7MCJ-6","ik7mcj-6.dyndns.org","7000","DX Spider"
"IK7NXQ-6","ik7nxu.dyndns.org","9000","DxNet"
"IK7NXU-6","ik7nxu.dyndns.org","8000","DX Spider"
"IK7QLZ-6","ik7qlz.dyndns.org","7000","DX Spider"
"IK7UXW-6","ik7uxw.dyndns.org","7300","DX Spider"
"IK8HJC-6","ik8hjc.dyndns.org","8000","DX Spider"
"IK8VRN-6","ik8vrn.dyndns.org","7000","DX Spider"
"IQ0SS","iq0ss.mine.nu","23","AR-Cluster"
"IQ1GP-6","cluster.ari-rivarolo.org","7000","DX Spider"
"IQ1RY-6","aribra.it","7000","DX Spider"
"IQ4AX-6","dxcluster.arimodena.it","8000","DX Spider"
"IQ4RN-6","iq4rn.aririmini.it","8000","DX Spider"
"IQ8BB-6","80.205.215.149","8000","DX Spider"
"IQ8CS-6","160.97.55.211","80","DxNet"
"IQ8PC-6","83.211.6.124","7300","DX Spider"
"IR1AH","dx.arito.net","8000","AR-Cluster"
"IR3DXC","ir3dxc.net","41112","DX Spider"
"IR4AD","ir4ad.tzo.com","23","AR-Cluster"
"IR4U-6","ir4u.dyndns.org","8000","DX Spider"
"IR4X-6","iq4bq.dyndns.org","8000","DX Spider"
"IR5PWJ-6","radio-linux.isti.cnr.it","8000","DX Spider"
